asdf_id,udel_air_temp_v501_mean.2000.max,udel_air_temp_v501_mean.2000.mean,udel_air_temp_v501_mean.2000.min,udel_air_temp_v501_mean.2001.max,udel_air_temp_v501_mean.2001.mean,udel_air_temp_v501_mean.2001.min,udel_air_temp_v501_mean.2002.max,udel_air_temp_v501_mean.2002.mean,udel_air_temp_v501_mean.2002.min,udel_air_temp_v501_mean.2003.max,udel_air_temp_v501_mean.2003.mean,udel_air_temp_v501_mean.2003.min,udel_air_temp_v501_mean.2004.max,udel_air_temp_v501_mean.2004.mean,udel_air_temp_v501_mean.2004.min,udel_air_temp_v501_mean.2005.max,udel_air_temp_v501_mean.2005.mean,udel_air_temp_v501_mean.2005.min,udel_air_temp_v501_mean.2006.max,udel_air_temp_v501_mean.2006.mean,udel_air_temp_v501_mean.2006.min,udel_air_temp_v501_mean.2007.max,udel_air_temp_v501_mean.2007.mean,udel_air_temp_v501_mean.2007.min,udel_air_temp_v501_mean.2008.max,udel_air_temp_v501_mean.2008.mean,udel_air_temp_v501_mean.2008.min,udel_air_temp_v501_mean.2009.max,udel_air_temp_v501_mean.2009.mean,udel_air_temp_v501_mean.2009.min,udel_air_temp_v501_mean.2010.max,udel_air_temp_v501_mean.2010.mean,udel_air_temp_v501_mean.2010.min,udel_air_temp_v501_mean.2011.max,udel_air_temp_v501_mean.2011.mean,udel_air_temp_v501_mean.2011.min,udel_air_temp_v501_mean.2012.max,udel_air_temp_v501_mean.2012.mean,udel_air_temp_v501_mean.2012.min,udel_air_temp_v501_mean.2013.max,udel_air_temp_v501_mean.2013.mean,udel_air_temp_v501_mean.2013.min,udel_air_temp_v501_mean.2014.max,udel_air_temp_v501_mean.2014.mean,udel_air_temp_v501_mean.2014.min,udel_air_temp_v501_mean.2015.max,udel_air_temp_v501_mean.2015.mean,udel_air_temp_v501_mean.2015.min,udel_air_temp_v501_mean.2016.max,udel_air_temp_v501_mean.2016.mean,udel_air_temp_v501_mean.2016.min,udel_air_temp_v501_mean.2017.max,udel_air_temp_v501_mean.2017.mean,udel_air_temp_v501_mean.2017.min,NAME_2,NAME_3,NAME_0,NAME_1,VARNAME_3,TYPE_3,Shape_Area,ENGTYPE_3,Shape_Length,NL_NAME_3,ID_3,ID_0,ID_1,ISO,ID_2,CCA_3,CCN_3
10,23.9333333333,23.9333333333,23.9333333333,24.2833333333,24.2833333333,24.2833333333,24.6583333333,24.6583333333,24.6583333333,24.1833333333,24.1833333333,24.1833333333,24.1833333333,24.1833333333,24.1833333333,24.5666666667,24.5666666667,24.5666666667,24.2833333333,24.2833333333,24.2833333333,24.275,24.275,24.275,24.5083333333,24.5083333333,24.5083333333,24.7916666667,24.7916666667,24.7916666667,24.5333333333,24.5333333333,24.5333333333,24.0166666667,24.0166666667,24.0166666667,23.7083333333,23.7083333333,23.7083333333,23.8166666667,23.8166666667,23.8166666667,23.85,23.85,23.85,24.275,24.275,24.275,24.3583333333,24.3583333333,24.3583333333,24.0916666667,24.0916666667,24.0916666667,Kole,Balla,Uganda,Apac,Bala,Sub-county,0.016176,Sub-county,0.615553,,11,239,2,UGA,2,,
11,24.4,24.1200341253,23.9333333333,24.575,24.4000213283,24.2833333333,25.0,24.7950249846,24.6583333333,24.4916666667,24.3066892138,24.1833333333,24.6166666667,24.3566983545,24.1833333333,25.05,24.7600353441,24.5666666667,24.725,24.4600322972,24.2833333333,24.6833333333,24.438363193,24.275,24.8416666667,24.6416910419,24.5083333333,25.1333333333,24.9283583179,24.7916666667,24.9166666667,24.6866946982,24.5333333333,24.525,24.2200371722,24.0166666667,24.3,23.945043266,23.7083333333,24.4416666667,24.0667123702,23.8166666667,24.4666666667,24.0967117608,23.85,24.8833333333,24.5183778181,24.275,25.0,24.6150469223,24.3583333333,24.7416666667,24.3517141984,24.0916666667,Kwania,Abongomola,Uganda,Apac,,Sub-county,0.017468,Sub-county,0.651797,,12,239,2,UGA,3,,
12,24.4,24.148753289,23.9333333333,24.575,24.4179708056,24.2833333333,25.0,24.8160515152,24.6583333333,24.4916666667,24.3256643755,24.1833333333,24.6166666667,24.3833661493,24.1833333333,25.05,24.7897801922,24.5666666667,24.725,24.4872129343,24.2833333333,24.6833333333,24.4634924612,24.275,24.8416666667,24.6622047303,24.5083333333,25.1333333333,24.9493848485,24.7916666667,24.9166666667,24.7102854398,24.5333333333,24.525,24.251320547,24.0166666667,24.3,23.9814550629,23.7083333333,24.4416666667,24.1051755359,23.8166666667,24.4666666667,24.1346620843,23.85,24.8833333333,24.5558152994,24.275,25.0,24.6545357724,24.3583333333,24.7416666667,24.3917158907,24.0916666667,Kwania,Aduku,Uganda,Apac,,Sub-county,0.01474,Sub-county,0.641346,,13,239,2,UGA,3,,
13,24.4,24.4,24.4,24.575,24.575,24.575,25.0,25.0,25.0,24.4916666667,24.4916666667,24.4916666667,24.6166666667,24.6166666667,24.6166666667,25.05,25.05,25.05,24.725,24.725,24.725,24.6833333333,24.6833333333,24.6833333333,24.8416666667,24.8416666667,24.8416666667,25.1333333333,25.1333333333,25.1333333333,24.9166666667,24.9166666667,24.9166666667,24.525,24.525,24.525,24.3,24.3,24.3,24.4416666667,24.4416666667,24.4416666667,24.4666666667,24.4666666667,24.4666666667,24.8833333333,24.8833333333,24.8833333333,25.0,25.0,25.0,24.7416666667,24.7416666667,24.7416666667,Kwania,Cawente,Uganda,Apac,Chawente,Sub-county,0.039243,Sub-county,0.896685,,14,239,2,UGA,3,,
14,23.9333333333,23.9333333333,23.9333333333,24.2833333333,24.2833333333,24.2833333333,24.6583333333,24.6583333333,24.6583333333,24.1833333333,24.1833333333,24.1833333333,24.1833333333,24.1833333333,24.1833333333,24.5666666667,24.5666666667,24.5666666667,24.2833333333,24.2833333333,24.2833333333,24.275,24.275,24.275,24.5083333333,24.5083333333,24.5083333333,24.7916666667,24.7916666667,24.7916666667,24.5333333333,24.5333333333,24.5333333333,24.0166666667,24.0166666667,24.0166666667,23.7083333333,23.7083333333,23.7083333333,23.8166666667,23.8166666667,23.8166666667,23.85,23.85,23.85,24.275,24.275,24.275,24.3583333333,24.3583333333,24.3583333333,24.0916666667,24.0916666667,24.0916666667,Kwania,Inomo,Uganda,Apac,,Sub-county,0.013474,Sub-county,0.571952,,15,239,2,UGA,3,,
15,24.4,24.4,24.4,24.575,24.575,24.575,25.0,25.0,25.0,24.4916666667,24.4916666667,24.4916666667,24.6166666667,24.6166666667,24.6166666667,25.05,25.05,25.05,24.725,24.725,24.725,24.6833333333,24.6833333333,24.6833333333,24.8416666667,24.8416666667,24.8416666667,25.1333333333,25.1333333333,25.1333333333,24.9166666667,24.9166666667,24.9166666667,24.525,24.525,24.525,24.3,24.3,24.3,24.4416666667,24.4416666667,24.4416666667,24.4666666667,24.4666666667,24.4666666667,24.8833333333,24.8833333333,24.8833333333,25.0,25.0,25.0,24.7416666667,24.7416666667,24.7416666667,Kwania,Nambieso,Uganda,Apac,,Sub-county,0.032209,Sub-county,0.842845,,16,239,2,UGA,3,,
16,24.4,24.0924603164,23.9833333333,24.575,24.3412698405,24.2583333333,25.0,24.7293650784,24.6333333333,24.4916666667,24.2640873008,24.1833333333,24.6166666667,24.3152777767,24.2083333333,25.05,24.7301587291,24.6166666667,24.725,24.3990079354,24.2833333333,24.6833333333,24.3696428561,24.2583333333,24.8416666667,24.4726190464,24.3416666667,25.1333333333,24.8011904751,24.6833333333,24.9166666667,24.6767857135,24.5916666667,24.525,24.2543650784,24.1583333333,24.3,24.0601190468,23.975,24.4416666667,24.2448412692,24.175,24.4666666667,24.2329365071,24.15,24.8833333333,24.5573412687,24.4416666667,25.0,24.6986111101,24.5916666667,24.7416666667,24.3849206337,24.2583333333,Maruzi,Akokoro,Uganda,Apac,,Sub-county,0.06222,Sub-county,1.414874,,17,239,2,UGA,4,,
17,24.4,24.2133674635,23.9333333333,24.575,24.4583546647,24.2833333333,25.0,24.8633583215,24.6583333333,24.4916666667,24.3683558836,24.1833333333,24.6166666667,24.4433650257,24.1833333333,25.05,24.8567020158,24.5666666667,24.725,24.5483656351,24.2833333333,24.6833333333,24.5200298639,24.275,24.8416666667,24.708357712,24.5083333333,25.1333333333,24.9966916548,24.7916666667,24.9166666667,24.7633613688,24.5333333333,24.525,24.3217038442,24.0166666667,24.3,24.0633766055,23.7083333333,24.4416666667,24.1917123767,23.8166666667,24.4666666667,24.2200451006,23.85,24.8833333333,24.6400444911,24.275,25.0,24.7433802623,24.3583333333,24.7416666667,24.4817142051,24.0916666667,Maruzi,Apac Tc,Uganda,Apac,,Sub-county,0.002232,Sub-county,0.243107,,18,239,2,UGA,4,,
18,24.4,24.1894145503,23.9333333333,24.7583333333,24.4556901454,24.2583333333,25.125,24.8526628124,24.6333333333,24.7333333333,24.3734933172,24.1833333333,24.6166666667,24.4185793123,24.1833333333,25.05,24.8272948284,24.5666666667,24.725,24.5166858296,24.2833333333,24.6833333333,24.4939558388,24.2583333333,24.8416666667,24.6621327673,24.3416666667,25.2333333333,24.972358775,24.6833333333,24.9833333333,24.7564547417,24.5333333333,24.525,24.3072209541,24.0166666667,24.3,24.053061271,23.7083333333,24.4416666667,24.1882921271,23.8166666667,24.4666666667,24.2076092546,23.85,24.8833333333,24.6053347439,24.275,25.0,24.7151858416,24.3583333333,24.7416666667,24.4409431658,24.0916666667,Maruzi,Apac,Uganda,Apac,,Sub-county,0.029744,Sub-county,0.978921,,19,239,2,UGA,4,,
19,24.3416666667,24.1170833379,23.9333333333,24.7583333333,24.4970833386,24.2833333333,25.125,24.8683333385,24.6583333333,24.7333333333,24.4308333395,24.1833333333,24.5666666667,24.3558333376,24.1833333333,24.9416666667,24.7354166709,24.5666666667,24.6416666667,24.4445833373,24.2833333333,24.6666666667,24.4512500044,24.275,24.7833333333,24.6320833364,24.5083333333,25.2333333333,24.9904166716,24.7916666667,24.9833333333,24.7358333384,24.5333333333,24.4583333333,24.2154166716,24.0166666667,24.1416666667,23.9033333382,23.7083333333,24.2416666667,24.0079166714,23.8166666667,24.25,24.0300000045,23.85,24.6166666667,24.4287500038,24.275,24.725,24.5233333374,24.3583333333,24.4333333333,24.2454166705,24.0916666667,Maruzi,Cegere,Uganda,Apac,,Sub-county,0.019801,Sub-county,0.824844,,20,239,2,UGA,4,,
20,24.3416666667,24.0267560464,23.9833333333,24.7583333333,24.3189231656,24.2583333333,25.125,24.692913335,24.6333333333,24.7333333333,24.2499821488,24.1833333333,24.5666666667,24.2517560464,24.2083333333,24.9416666667,24.6560500576,24.6166666667,24.6416666667,24.3267560464,24.2833333333,24.6666666667,24.3078150297,24.2583333333,24.7833333333,24.3951876851,24.3416666667,25.2333333333,24.7499821488,24.6833333333,24.9833333333,24.6391287019,24.5916666667,24.4583333333,24.1946872327,24.1583333333,24.1416666667,23.9951966107,23.975,24.2416666667,24.1830786443,24.175,24.25,24.1621179664,24.15,24.6166666667,24.462873108,24.4416666667,24.725,24.6078239553,24.5916666667,24.4333333333,24.2795397746,24.2583333333,Maruzi,Ibuje,Uganda,Apac,,Sub-county,0.033599,Sub-county,1.287623,,21,239,2,UGA,4,,
